time,unix_ts,usd,pending_tx,btc,Fastest_price
2018-11-28 15:56:00,1543420560,119.57,95690,0.02833,22.0
2018-11-28 15:56:15,1543420575,119.57,95694,0.02833,22.0
2018-11-28 15:56:30,1543420590,119.57,95758,0.02833,22.0
2018-11-28 15:56:45,1543420605,119.57,95688,0.02833,22.0
2018-11-28 15:57:01,1543420621,119.57,95717,0.02833,22.0
2018-11-28 15:57:16,1543420636,119.57,95726,0.02833,22.0
2018-11-28 15:57:31,1543420651,119.57,95796,0.02833,22.0
2018-11-28 15:57:46,1543420666,119.57,95762,0.02833,22.0
2018-11-28 15:58:01,1543420681,119.57,95839,0.02833,22.0
2018-11-28 15:58:16,1543420696,119.57,95748,0.02833,22.0
2018-11-28 15:58:31,1543420711,119.57,95725,0.02833,22.0
2018-11-28 15:58:46,1543420726,120.05,95737,0.02836,22.0
2018-11-28 15:59:00,1543420740,120.05,95626,0.02836,22.0
2018-11-28 15:59:15,1543420755,120.05,95612,0.02836,25.0
2018-11-28 15:59:30,1543420770,120.05,95666,0.02836,25.0
2018-11-28 15:59:45,1543420785,120.05,95715,0.02836,25.0
2018-11-28 16:00:02,1543420802,120.05,95672,0.02836,25.0
2018-11-28 16:00:17,1543420817,120.05,95827,0.02836,25.0
2018-11-28 16:00:32,1543420832,120.05,95740,0.02836,25.0
2018-11-28 16:00:47,1543420847,120.05,95743,0.02836,25.0
2018-11-28 16:01:00,1543420860,120.05,95668,0.02836,25.0
2018-11-28 16:01:15,1543420875,120.05,95779,0.02836,25.0
2018-11-28 16:01:30,1543420890,120.05,95711,0.02836,25.0
2018-11-28 16:01:45,1543420905,120.05,95751,0.02836,25.0
2018-11-28 16:02:01,1543420921,120.05,95845,0.02836,25.0
2018-11-28 16:02:16,1543420936,120.05,95759,0.02836,25.0
2018-11-28 16:02:31,1543420951,120.05,95637,0.02836,25.0
2018-11-28 16:02:46,1543420966,120.05,95756,0.02836,25.0
2018-11-28 16:03:01,1543420981,120.05,95896,0.02836,25.0
2018-11-28 16:03:16,1543420996,120.05,95865,0.02836,25.0
2018-11-28 16:03:31,1543421011,120.05,95921,0.02836,25.0
2018-11-28 16:03:46,1543421026,120.05,95947,0.02836,25.0
2018-11-28 16:04:01,1543421041,120.05,95928,0.02836,25.0
2018-11-28 16:04:16,1543421056,120.05,95905,0.02836,25.0
2018-11-28 16:04:31,1543421071,120.05,95861,0.02836,25.0
2018-11-28 16:04:46,1543421086,120.05,95966,0.02836,25.0
2018-11-28 16:05:00,1543421100,120.05,95879,0.02836,25.0
2018-11-28 16:05:15,1543421115,120.05,95773,0.02836,25.0
2018-11-28 16:05:30,1543421130,120.05,95666,0.02836,25.0
2018-11-28 16:05:45,1543421145,120.05,95707,0.02836,25.0
2018-11-28 16:06:02,1543421162,120.05,95861,0.02836,25.0
2018-11-28 16:06:17,1543421177,120.05,95865,0.02836,25.0
2018-11-28 16:06:32,1543421192,120.05,95803,0.02836,25.0
2018-11-28 16:06:47,1543421207,120.05,95802,0.02836,25.0
2018-11-28 16:07:00,1543421220,120.05,95825,0.02836,25.0
2018-11-28 16:07:15,1543421235,120.05,95940,0.02836,25.0
2018-11-28 16:07:30,1543421250,120.05,96023,0.02836,25.0
2018-11-28 16:07:45,1543421265,120.05,96038,0.02836,25.0
2018-11-28 16:08:01,1543421281,120.05,96178,0.02836,25.0
2018-11-28 16:08:16,1543421296,120.05,96240,0.02836,25.0
2018-11-28 16:08:31,1543421311,120.05,96095,0.02836,25.0
2018-11-28 16:08:46,1543421326,120.05,96069,0.02836,25.0
2018-11-28 16:09:01,1543421341,119.23,96191,0.02829,25.0
2018-11-28 16:09:32,1543421372,119.23,96336,0.02829,25.0
2018-11-28 16:09:47,1543421387,119.23,96289,0.02829,25.0
2018-11-28 16:10:00,1543421400,119.23,96264,0.02829,25.0
2018-11-28 16:10:15,1543421415,119.23,96352,0.02829,25.0
2018-11-28 16:10:30,1543421430,119.23,96369,0.02829,25.0
2018-11-28 16:10:45,1543421445,119.23,96317,0.02829,25.0
2018-11-28 16:11:01,1543421461,119.23,96294,0.02829,25.0
2018-11-28 16:11:16,1543421476,119.23,96292,0.02829,25.0
2018-11-28 16:11:31,1543421491,119.23,96395,0.02829,25.0
2018-11-28 16:11:46,1543421506,119.23,96394,0.02829,25.0
2018-11-28 16:12:01,1543421521,119.23,96333,0.02829,25.0
2018-11-28 16:12:17,1543421537,119.23,96382,0.02829,25.0
2018-11-28 16:12:32,1543421552,119.23,96446,0.02829,25.0
2018-11-28 16:12:47,1543421567,119.23,96331,0.02829,25.0
2018-11-28 16:13:00,1543421580,119.23,96416,0.02829,25.0
2018-11-28 16:13:15,1543421595,119.23,96463,0.02829,25.0
2018-11-28 16:13:30,1543421610,119.23,96251,0.02829,25.0
2018-11-28 16:13:45,1543421625,119.23,96184,0.02829,25.0
2018-11-28 16:14:01,1543421641,119.23,96221,0.02829,25.0
2018-11-28 16:14:16,1543421656,119.23,96325,0.02829,25.0
2018-11-28 16:14:31,1543421671,119.23,96453,0.02829,25.0
2018-11-28 16:14:46,1543421686,119.23,96274,0.02829,25.0
2018-11-28 16:15:01,1543421701,119.23,96393,0.02829,25.0
2018-11-28 16:15:16,1543421716,119.23,96495,0.02829,25.0
2018-11-28 16:15:31,1543421731,119.23,96478,0.02829,25.0
2018-11-28 16:15:46,1543421746,119.23,96510,0.02829,25.0
2018-11-28 16:16:00,1543421760,119.23,96498,0.02829,25.0
2018-11-28 16:16:15,1543421775,119.23,96406,0.02829,25.0
2018-11-28 16:16:30,1543421790,119.23,96465,0.02829,25.0
2018-11-28 16:16:45,1543421805,119.23,96484,0.02829,25.0
2018-11-28 16:17:01,1543421821,119.23,96484,0.02829,25.0
2018-11-28 16:17:16,1543421836,119.23,96647,0.02829,25.0
2018-11-28 16:17:47,1543421867,119.23,96512,0.02829,25.0
2018-11-28 16:18:00,1543421880,119.23,96498,0.02829,25.0
2018-11-28 16:18:15,1543421895,119.23,96356,0.02829,25.0
2018-11-28 16:18:30,1543421910,119.23,96361,0.02829,25.0
2018-11-28 16:18:45,1543421925,119.23,96424,0.02829,25.0
2018-11-28 16:19:01,1543421941,119.17,96425,0.02828,25.0
2018-11-28 16:19:16,1543421956,119.17,96354,0.02828,25.0
2018-11-28 16:19:31,1543421971,119.17,96252,0.02828,25.0
2018-11-28 16:19:46,1543421986,119.17,96260,0.02828,25.0
2018-11-28 16:20:01,1543422001,119.17,96345,0.02828,25.0
2018-11-28 16:20:16,1543422016,119.17,96249,0.02828,25.0
2018-11-28 16:20:31,1543422031,119.17,96342,0.02828,25.0
2018-11-28 16:20:46,1543422046,119.17,96428,0.02828,25.0
2018-11-28 16:21:00,1543422060,119.17,96513,0.02828,25.0
2018-11-28 16:21:15,1543422075,119.17,96575,0.02828,25.0
2018-11-28 16:21:30,1543422090,119.17,96471,0.02828,25.0
2018-11-28 16:21:45,1543422105,119.17,96539,0.02828,25.0
2018-11-28 16:22:02,1543422122,119.17,96576,0.02828,25.0
2018-11-28 16:22:17,1543422137,119.17,96059,0.02828,25.0
2018-11-28 16:22:32,1543422152,119.17,96107,0.02828,25.0
2018-11-28 16:22:47,1543422167,119.17,96127,0.02828,25.0
2018-11-28 16:23:00,1543422180,119.17,96173,0.02828,25.0
2018-11-28 16:23:15,1543422195,119.17,96252,0.02828,25.0
2018-11-28 16:23:30,1543422210,119.17,96355,0.02828,25.0
2018-11-28 16:23:45,1543422225,119.17,96154,0.02828,25.0
2018-11-28 16:24:01,1543422241,119.17,96263,0.02828,25.0
2018-11-28 16:24:16,1543422256,119.17,96427,0.02828,25.0
2018-11-28 16:24:31,1543422271,119.17,96333,0.02828,25.0
2018-11-28 16:24:46,1543422286,119.17,96377,0.02828,25.0
2018-11-28 16:25:01,1543422301,119.17,96465,0.02828,25.0
2018-11-28 16:25:16,1543422316,119.17,96003,0.02828,25.0
2018-11-28 16:25:31,1543422331,119.17,94195,0.02828,25.0
2018-11-28 16:25:46,1543422346,119.17,94719,0.02828,25.0
2018-11-28 16:26:00,1543422360,119.17,95262,0.02828,25.0
2018-11-28 16:26:15,1543422375,119.17,95527,0.02828,25.0
2018-11-28 16:26:30,1543422390,119.17,95785,0.02828,25.0
2018-11-28 16:26:45,1543422405,119.17,95909,0.02828,25.0
2018-11-28 16:27:01,1543422421,119.17,96035,0.02828,25.0
2018-11-28 16:27:16,1543422436,119.17,96099,0.02828,25.0
2018-11-28 16:27:32,1543422452,119.17,96100,0.02828,25.0
2018-11-28 16:27:47,1543422467,119.17,96170,0.02828,25.0
2018-11-28 16:28:00,1543422480,119.17,96315,0.02828,25.0
2018-11-28 16:28:15,1543422495,119.17,96252,0.02828,25.0
2018-11-28 16:28:30,1543422510,119.17,96343,0.02828,25.0
2018-11-28 16:28:45,1543422525,119.17,96478,0.02828,25.0
2018-11-28 16:29:01,1543422541,118.95,96492,0.02825,25.0
2018-11-28 16:29:16,1543422556,118.95,96568,0.02825,25.0
2018-11-28 16:29:31,1543422571,118.95,96386,0.02825,25.0
2018-11-28 16:29:46,1543422586,118.95,96398,0.02825,25.0
2018-11-28 16:30:01,1543422601,118.95,96478,0.02825,25.0
2018-11-28 16:30:16,1543422616,118.95,96550,0.02825,25.0
2018-11-28 16:30:31,1543422631,118.95,96648,0.02825,25.0
2018-11-28 16:30:46,1543422646,118.95,96694,0.02825,25.0
2018-11-28 16:31:00,1543422660,118.95,96607,0.02825,25.0
2018-11-28 16:31:15,1543422675,118.95,96660,0.02825,25.0
2018-11-28 16:31:30,1543422690,118.95,96650,0.02825,25.0
2018-11-28 16:31:45,1543422705,118.95,96653,0.02825,25.0
2018-11-28 16:32:01,1543422721,118.95,96628,0.02825,25.0
2018-11-28 16:32:16,1543422736,118.95,96718,0.02825,25.0
2018-11-28 16:32:31,1543422751,118.95,96705,0.02825,25.0
2018-11-28 16:32:46,1543422766,118.95,96707,0.02825,25.0
2018-11-28 16:33:01,1543422781,118.95,96730,0.02825,25.0
2018-11-28 16:33:16,1543422796,118.95,96680,0.02825,25.0
2018-11-28 16:33:31,1543422811,118.95,95945,0.02825,25.0
2018-11-28 16:33:46,1543422826,118.95,96082,0.02825,25.0
2018-11-28 16:34:00,1543422840,118.95,96114,0.02825,25.0
2018-11-28 16:34:15,1543422855,118.95,96235,0.02825,25.0
2018-11-28 16:34:30,1543422870,118.95,96261,0.02825,25.0
2018-11-28 16:34:45,1543422885,118.95,96292,0.02825,25.0
2018-11-28 16:35:01,1543422901,118.95,96403,0.02825,25.0
2018-11-28 16:35:16,1543422916,118.95,96502,0.02825,25.0
2018-11-28 16:35:31,1543422931,118.95,96447,0.02825,25.0
2018-11-28 16:35:46,1543422946,118.95,96542,0.02825,25.0
2018-11-28 16:36:00,1543422960,118.95,96524,0.02825,25.0
2018-11-28 16:36:15,1543422975,118.95,96668,0.02825,25.0
2018-11-28 16:36:30,1543422990,118.95,96764,0.02825,25.0
2018-11-28 16:36:45,1543423005,118.95,96712,0.02825,25.0
2018-11-28 16:37:02,1543423022,118.95,96762,0.02825,25.0
2018-11-28 16:37:17,1543423037,118.95,96669,0.02825,25.0
2018-11-28 16:37:32,1543423052,118.95,96694,0.02825,25.0
2018-11-28 16:37:47,1543423067,118.95,96690,0.02825,25.0
2018-11-28 16:38:00,1543423080,118.95,96640,0.02825,25.0
2018-11-28 16:38:15,1543423095,118.95,96080,0.02825,25.0
2018-11-28 16:38:30,1543423110,118.95,96064,0.02825,25.0
2018-11-28 16:38:45,1543423125,118.95,96259,0.02825,25.0
2018-11-28 16:39:01,1543423141,119.12,96297,0.02819,25.0
2018-11-28 16:39:16,1543423156,119.12,96351,0.02819,25.0
2018-11-28 16:39:31,1543423171,119.12,96246,0.02819,25.0
2018-11-28 16:39:46,1543423186,119.12,96328,0.02819,25.0
