,unix_ts,usd,pending_tx,btc,Fastest_price
0,1543420560,119.57,95690.0,0.02833,22.0
1,1543420575,119.57,95694.0,0.02833,22.0
2,1543420590,119.57,95758.0,0.02833,22.0
3,1543420605,119.57,95688.0,0.02833,22.0
4,1543420621,119.57,95717.0,0.02833,22.0
5,1543420636,119.57,95726.0,0.02833,22.0
6,1543420651,119.57,95796.0,0.02833,22.0
7,1543420666,119.57,95762.0,0.02833,22.0
8,1543420681,119.57,95839.0,0.02833,22.0
9,1543420696,119.57,95748.0,0.02833,22.0
10,1543420711,119.57,95725.0,0.02833,22.0
11,1543420726,120.05,95737.0,0.02836,22.0
12,1543420740,120.05,95626.0,0.02836,22.0
13,1543420755,120.05,95612.0,0.02836,25.0
14,1543420770,120.05,95666.0,0.02836,25.0
15,1543420785,120.05,95715.0,0.02836,25.0
16,1543420802,120.05,95672.0,0.02836,25.0
17,1543420817,120.05,95827.0,0.02836,25.0
18,1543420832,120.05,95740.0,0.02836,25.0
19,1543420847,120.05,95743.0,0.02836,25.0
20,1543420860,120.05,95668.0,0.02836,25.0
21,1543420875,120.05,95779.0,0.02836,25.0
22,1543420890,120.05,95711.0,0.02836,25.0
23,1543420905,120.05,95751.0,0.02836,25.0
24,1543420921,120.05,95845.0,0.02836,25.0
25,1543420936,120.05,95759.0,0.02836,25.0
26,1543420951,120.05,95637.0,0.02836,25.0
27,1543420966,120.05,95756.0,0.02836,25.0
28,1543420981,120.05,95896.0,0.02836,25.0
29,1543420996,120.05,95865.0,0.02836,25.0
30,1543421011,120.05,95921.0,0.02836,25.0
31,1543421026,120.05,95947.0,0.02836,25.0
32,1543421041,120.05,95928.0,0.02836,25.0
33,1543421056,120.05,95905.0,0.02836,25.0
34,1543421071,120.05,95861.0,0.02836,25.0
35,1543421086,120.05,95966.0,0.02836,25.0
36,1543421100,120.05,95879.0,0.02836,25.0
37,1543421115,120.05,95773.0,0.02836,25.0
38,1543421130,120.05,95666.0,0.02836,25.0
39,1543421145,120.05,95707.0,0.02836,25.0
40,1543421162,120.05,95861.0,0.02836,25.0
41,1543421177,120.05,95865.0,0.02836,25.0
42,1543421192,120.05,95803.0,0.02836,25.0
43,1543421207,120.05,95802.0,0.02836,25.0
44,1543421220,120.05,95825.0,0.02836,25.0
45,1543421235,120.05,95940.0,0.02836,25.0
46,1543421250,120.05,96023.0,0.02836,25.0
47,1543421265,120.05,96038.0,0.02836,25.0
48,1543421281,120.05,96178.0,0.02836,25.0
49,1543421296,120.05,96240.0,0.02836,25.0
50,1543421311,120.05,96095.0,0.02836,25.0
51,1543421326,120.05,96069.0,0.02836,25.0
52,1543421341,119.23,96191.0,0.02829,25.0
53,1543421357,119.23,96165.0,0.02829,25.0
54,1543421372,119.23,96336.0,0.02829,25.0
55,1543421387,119.23,96289.0,0.02829,25.0
56,1543421400,119.23,96264.0,0.02829,25.0
57,1543421415,119.23,96352.0,0.02829,25.0
58,1543421430,119.23,96369.0,0.02829,25.0
59,1543421445,119.23,96317.0,0.02829,25.0
60,1543421461,119.23,96294.0,0.02829,25.0
61,1543421476,119.23,96292.0,0.02829,25.0
62,1543421491,119.23,96395.0,0.02829,25.0
63,1543421506,119.23,96394.0,0.02829,25.0
64,1543421521,119.23,96333.0,0.02829,25.0
65,1543421537,119.23,96382.0,0.02829,25.0
66,1543421552,119.23,96446.0,0.02829,25.0
67,1543421567,119.23,96331.0,0.02829,25.0
68,1543421580,119.23,96416.0,0.02829,25.0
69,1543421595,119.23,96463.0,0.02829,25.0
70,1543421610,119.23,96251.0,0.02829,25.0
71,1543421625,119.23,96184.0,0.02829,25.0
72,1543421641,119.23,96221.0,0.02829,25.0
73,1543421656,119.23,96325.0,0.02829,25.0
74,1543421671,119.23,96453.0,0.02829,25.0
75,1543421686,119.23,96274.0,0.02829,25.0
76,1543421701,119.23,96393.0,0.02829,25.0
77,1543421716,119.23,96495.0,0.02829,25.0
78,1543421731,119.23,96478.0,0.02829,25.0
79,1543421746,119.23,96510.0,0.02829,25.0
80,1543421760,119.23,96498.0,0.02829,25.0
81,1543421775,119.23,96406.0,0.02829,25.0
82,1543421790,119.23,96465.0,0.02829,25.0
83,1543421805,119.23,96484.0,0.02829,25.0
84,1543421821,119.23,96484.0,0.02829,25.0
85,1543421836,119.23,96647.0,0.02829,25.0
86,1543421851,119.23,96636.0,0.02829,25.0
87,1543421867,119.23,96512.0,0.02829,25.0
88,1543421880,119.23,96498.0,0.02829,25.0
89,1543421895,119.23,96356.0,0.02829,25.0
90,1543421910,119.23,96361.0,0.02829,25.0
91,1543421925,119.23,96424.0,0.02829,25.0
92,1543421941,119.17,96425.0,0.02828,25.0
